State,Name,Population,Fatalcrashes,Deaths,Deathspopulation
Alabama,AL,4858979,783,849,17.50
Alaska,AK,738432,60,65,8.80
Arizona,AZ,6828065,810,893,13.10
Arkansas,AR,2978204,472,531,17.80
California,CA,39144818,2925,3176,8.10
Colorado,CO,5456574,506,546,10 
Connecticut,CT,3590886,253,266,7.40
Delaware,DE,945934,122,126,13.30
District of Columbia,DC,672228,23,23,3.40
Florida,FL,20271272,2699,2939,14.50
Georgia,GA,10214860,1327,1430,14 
Hawaii,HI,1431603,86,94,6.60
Idaho,ID,1654930,198,216,13.10
Illinois,IL,12859995,914,998,7.80
Indiana,IN,6619680,756,821,12.40
Iowa,IA,3123899,282,320,10.20
Kansas,KS,2911641,322,355,12.20
Kentucky,KY,4425092,694,761,17.20
Louisiana,LA,4670724,674,726,15.50
Maine,ME,1329328,144,156,11.70
Maryland,MD,6006401,472,513,8.50
Massachusetts,MA,6794422,291,306,4.50
Michigan,MI,9922576,893,963,9.70
Minnesota,MN,5489594,375,411,7.50
Mississippi,MS,2992333,604,677,22.60
Missouri,MO,6083672,802,869,14.30
Montana,MT,1032949,204,224,21.70
Nebraska,NE,1896190,218,246,13 
Nevada,NV,2890845,296,325,11.20
New Hampshire,NH,1330608,103,114,8.60
New Jersey,NJ,8958013,522,562,6.30
New Mexico,NM,2085109,269,298,14.30
New York,NY,19795791,1046,1121,5.70
North Carolina,NC,10042802,1275,1379,13.70
North Dakota,ND,756928,111,131,17.30
Ohio,OH,11613423,1029,1110,9.60
Oklahoma,OK,3911338,588,643,16.40
Oregon,OR,4028977,412,447,11.10
Pennsylvania,PA,12802503,1102,1200,9.40
Rhode Island,RI,1056298,41,45,4.30
South Carolina,SC,4896146,909,977,20 
South Dakota,SD,858469,115,133,15.50
Tennessee,TN,6600299,884,958,14.50
Texas,TX,27469114,3124,3516,12.80
Utah,UT,2995919,256,276,9.20
Vermont,VT,626042,50,57,9.10
Virginia,VA,8382993,711,753,9 
Washington,WA,7170351,516,568,7.90
West Virginia,WV,1844128,246,268,14.50
Wisconsin,WI,5771337,523,566,9.80
Wyoming,WY,586107,129,145,24.70
